,Sex,Length,Diameter,Height,Whole Weight,Shucked Weight,Viscera Weight,Shell Weight,Target Value
893,I,0.24,0.175,0.065,0.0665,0.031,0.0135,0.017,3
1053,I,0.195,0.15,0.045,0.0375,0.018,0.006,0.011,3
1986,I,0.16,0.11,0.025,0.0195,0.0075,0.005,0.006,4
3898,I,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,4
2545,I,0.225,0.17,0.07,0.0565,0.024,0.013,0.016,4
1824,I,0.24,0.18,0.055,0.0555,0.0235,0.013,0.018,4
2168,I,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005,4
3254,I,0.3,0.23,0.075,0.15,0.0605,0.042,0.045,5
2548,I,0.28,0.21,0.055,0.106,0.0415,0.0265,0.031,5
2380,M,0.155,0.115,0.025,0.024,0.009,0.005,0.0075,5
2811,I,0.24,0.17,0.05,0.0545,0.0205,0.016,0.0155,5
1431,I,0.365,0.255,0.08,0.1985,0.0785,0.0345,0.053,5
3430,I,0.35,0.265,0.095,0.199,0.073,0.049,0.06,5
3743,I,0.275,0.205,0.065,0.101,0.041,0.021,0.034,5
1531,I,0.285,0.21,0.055,0.101,0.0415,0.017,0.0335,5
1535,I,0.335,0.255,0.08,0.168,0.079,0.0355,0.05,5
537,M,0.275,0.205,0.07,0.094,0.0335,0.02,0.0325,5
2109,I,0.325,0.25,0.055,0.166,0.076,0.051,0.045,5
1215,I,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5
947,F,0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,6
2629,I,0.355,0.285,0.095,0.2275,0.0955,0.0475,0.0715,6
3409,I,0.415,0.31,0.105,0.3595,0.167,0.083,0.0915,6
3013,I,0.395,0.3,0.09,0.253,0.1155,0.05,0.075,6
1239,I,0.38,0.275,0.11,0.256,0.11,0.0535,0.0755,6
3014,I,0.42,0.32,0.11,0.309,0.115,0.0645,0.0945,6
463,I,0.255,0.195,0.07,0.0735,0.0255,0.02,0.025,6
2729,I,0.405,0.3,0.09,0.2885,0.138,0.0635,0.0765,6
1104,F,0.51,0.4,0.125,0.545,0.261,0.115,0.1385,6
3998,I,0.415,0.31,0.095,0.34,0.181,0.057,0.083,6
3432,I,0.365,0.27,0.105,0.2155,0.0915,0.0475,0.063,6
3375,I,0.31,0.235,0.09,0.127,0.048,0.031,0.04,6
3746,I,0.385,0.29,0.1,0.2575,0.1,0.061,0.086,6
1835,I,0.415,0.31,0.09,0.2815,0.1245,0.0615,0.085,6
3428,I,0.28,0.21,0.065,0.111,0.0425,0.0285,0.03,6
3200,F,0.385,0.3,0.1,0.2725,0.1115,0.057,0.08,6
2341,I,0.255,0.185,0.07,0.075,0.028,0.018,0.025,6
830,I,0.425,0.325,0.1,0.398,0.1185,0.0645,0.0945,6
2115,I,0.31,0.225,0.05,0.1445,0.0675,0.0385,0.045,6
2204,I,0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042,6
923,I,0.425,0.315,0.1,0.377,0.1645,0.072,0.105,6
2192,I,0.215,0.17,0.055,0.0605,0.0205,0.014,0.02,6
2561,I,0.44,0.325,0.1,0.4165,0.185,0.0865,0.11,6
2502,I,0.3,0.23,0.075,0.127,0.052,0.03,0.0345,6
2510,I,0.425,0.31,0.105,0.365,0.159,0.0825,0.105,6
2170,I,0.19,0.13,0.03,0.0295,0.0155,0.015,0.01,6
804,M,0.405,0.305,0.12,0.3185,0.1235,0.0905,0.095,7
2867,I,0.335,0.26,0.09,0.1965,0.0875,0.041,0.056,7
910,I,0.34,0.25,0.07,0.2225,0.104,0.0425,0.055,7
929,I,0.44,0.325,0.09,0.35,0.148,0.067,0.105,7
975,M,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.186,7
1072,I,0.405,0.3,0.11,0.32,0.172,0.044,0.093,7
3745,I,0.36,0.265,0.085,0.1865,0.0675,0.037,0.0615,7
1840,I,0.435,0.335,0.1,0.3245,0.135,0.0785,0.098,7
3477,I,0.435,0.335,0.11,0.411,0.2025,0.0945,0.1,7
1833,I,0.41,0.315,0.095,0.2805,0.114,0.0345,0.11,7
2552,I,0.315,0.235,0.07,0.149,0.058,0.0325,0.047,7
1765,F,0.375,0.27,0.135,0.597,0.272,0.131,0.1675,7
2126,I,0.4,0.31,0.1,0.127,0.106,0.071,0.085,7
2203,M,0.42,0.345,0.105,0.43,0.175,0.096,0.13,7
2282,I,0.435,0.345,0.12,0.4475,0.221,0.112,0.125,7
2042,I,0.395,0.295,0.1,0.293,0.14,0.062,0.082,7
3531,I,0.38,0.285,0.09,0.2305,0.1005,0.039,0.0775,7
2571,I,0.475,0.385,0.11,0.5735,0.311,0.1025,0.136,7
3434,I,0.375,0.285,0.09,0.257,0.1045,0.062,0.075,7
2648,M,0.505,0.4,0.135,0.723,0.377,0.149,0.178,7
1150,M,0.585,0.465,0.16,0.9555,0.4595,0.236,0.265,7
2719,I,0.37,0.275,0.09,0.2065,0.096,0.0395,0.058,7
2641,I,0.475,0.375,0.115,0.5205,0.233,0.119,0.1455,7
1574,I,0.485,0.375,0.13,0.6025,0.2935,0.1285,0.16,7
2576,I,0.505,0.385,0.12,0.6005,0.239,0.142,0.185,7
2634,I,0.43,0.32,0.1,0.3465,0.1635,0.08,0.09,7
1461,F,0.495,0.38,0.12,0.573,0.2655,0.1285,0.144,7
2874,I,0.435,0.335,0.095,0.298,0.109,0.058,0.115,7
3849,F,0.375,0.295,0.11,0.3005,0.1255,0.0575,0.1035,7
639,M,0.325,0.24,0.085,0.173,0.0795,0.038,0.05,7
4164,I,0.405,0.3,0.085,0.3035,0.15,0.0505,0.088,7
4119,M,0.35,0.265,0.09,0.197,0.073,0.0365,0.077,7
132,I,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7
3111,I,0.415,0.32,0.115,0.3045,0.1215,0.0735,0.094,7
3015,I,0.435,0.335,0.105,0.3535,0.156,0.05,0.1135,7
232,I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,7
714,I,0.275,0.2,0.065,0.1035,0.0475,0.0205,0.03,7
3159,I,0.275,0.2,0.065,0.1165,0.0565,0.013,0.035,7
3803,I,0.355,0.27,0.1,0.2255,0.11,0.042,0.064,7
3377,M,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057,8
2730,I,0.41,0.315,0.1,0.3,0.124,0.0575,0.1,8
3977,M,0.485,0.39,0.12,0.599,0.251,0.1345,0.169,8
1240,I,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,8
3109,I,0.395,0.3,0.12,0.2995,0.1265,0.068,0.0895,8
3021,I,0.46,0.37,0.11,0.3965,0.1485,0.0855,0.1455,8
1143,M,0.58,0.455,0.15,1.114,0.4765,0.2155,0.265,8
1147,M,0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295,8
2596,F,0.6,0.46,0.15,1.235,0.6025,0.274,0.29,8
1547,I,0.385,0.29,0.09,0.2365,0.1,0.0505,0.076,8
301,M,0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,8
2744,I,0.485,0.38,0.125,0.5215,0.2215,0.118,0.16,8
3178,I,0.27,0.195,0.07,0.102,0.045,0.0135,0.034,8
1328,I,0.57,0.45,0.135,0.794,0.3815,0.1415,0.245,8
1774,I,0.485,0.365,0.105,0.5205,0.195,0.123,0.182,8
1771,I,0.455,0.345,0.11,0.434,0.207,0.0855,0.1215,8
2671,F,0.595,0.465,0.15,1.1005,0.5415,0.166,0.265,8
1481,M,0.585,0.455,0.15,0.906,0.4095,0.23,0.2335,8
1867,I,0.525,0.405,0.145,0.6965,0.3045,0.1535,0.21,8
1484,F,0.59,0.46,0.145,0.9905,0.453,0.2205,0.275,8
1268,I,0.47,0.365,0.1,0.411,0.175,0.0855,0.135,8
