,Sex,Length,Diameter,Height,Whole Weight,Shucked Weight,Viscera Weight,Shell Weight,Target Value
1428,I,0.14,0.105,0.035,0.014,0.0055,0.0025,0.004,3
2710,I,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,3
1985,I,0.135,0.13,0.04,0.029,0.0125,0.0065,0.008,4
2113,I,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,4
2547,I,0.275,0.195,0.07,0.0875,0.0345,0.022,0.0255,4
3472,I,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013,4
3599,I,0.175,0.125,0.04,0.028,0.0095,0.008,0.009,4
524,M,0.175,0.125,0.04,0.024,0.0095,0.006,0.005,4
240,I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5
41,I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5
2453,I,0.275,0.2,0.065,0.092,0.0385,0.0235,0.027,5
901,I,0.305,0.22,0.07,0.141,0.062,0.031,0.037,5
892,I,0.24,0.175,0.055,0.0705,0.025,0.014,0.021,5
1058,I,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,5
1233,I,0.375,0.29,0.095,0.213,0.096,0.041,0.061,5
920,I,0.42,0.32,0.115,0.376,0.169,0.092,0.1,5
3105,I,0.3,0.22,0.065,0.1235,0.059,0.026,0.0315,5
2718,I,0.36,0.26,0.08,0.1795,0.074,0.0315,0.06,5
1244,I,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,5
1546,I,0.38,0.29,0.1,0.237,0.108,0.0395,0.082,6
1452,I,0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,6
948,M,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6
1453,I,0.47,0.355,0.12,0.3685,0.126,0.0835,0.1365,6
1235,I,0.375,0.275,0.09,0.218,0.093,0.0405,0.0755,6
1222,I,0.34,0.25,0.09,0.179,0.0775,0.033,0.055,6
3968,I,0.38,0.3,0.09,0.277,0.1655,0.0625,0.082,6
393,I,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,6
2630,I,0.375,0.29,0.1,0.219,0.0925,0.038,0.075,6
3997,I,0.375,0.28,0.08,0.2235,0.115,0.043,0.055,6
2714,I,0.335,0.25,0.08,0.167,0.0675,0.0325,0.0575,6
2423,M,0.26,0.2,0.065,0.096,0.044,0.027,0.03,6
1994,I,0.32,0.24,0.07,0.133,0.0585,0.0255,0.041,6
3158,F,0.34,0.255,0.085,0.204,0.097,0.021,0.05,6
3474,I,0.4,0.315,0.085,0.2675,0.116,0.0585,0.0765,6
3813,I,0.38,0.275,0.095,0.2425,0.106,0.0485,0.21,6
4148,I,0.28,0.215,0.07,0.124,0.063,0.0215,0.03,6
122,M,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6
3525,I,0.335,0.26,0.085,0.192,0.097,0.03,0.054,6
918,I,0.41,0.31,0.09,0.3335,0.1635,0.061,0.091,6
922,I,0.425,0.34,0.1,0.382,0.164,0.096,0.1,6
2289,I,0.325,0.27,0.1,0.185,0.08,0.0435,0.065,6
2292,I,0.34,0.26,0.09,0.179,0.076,0.0525,0.055,6
2503,I,0.31,0.24,0.105,0.2885,0.118,0.065,0.083,6
2454,I,0.235,0.17,0.065,0.0625,0.023,0.014,0.022,6
2863,I,0.31,0.23,0.07,0.1245,0.0505,0.0265,0.038,6
1081,I,0.435,0.345,0.115,0.418,0.222,0.0735,0.106,7
2869,I,0.37,0.27,0.09,0.1855,0.07,0.0425,0.065,7
952,F,0.485,0.37,0.115,0.4785,0.1995,0.0955,0.129,7
941,I,0.465,0.37,0.115,0.534,0.261,0.098,0.143,7
970,M,0.515,0.39,0.155,0.7125,0.3695,0.137,0.155,7
828,I,0.415,0.32,0.11,0.3735,0.175,0.0755,0.109,7
2814,I,0.32,0.235,0.09,0.183,0.098,0.0335,0.042,7
1834,I,0.41,0.335,0.105,0.3305,0.1405,0.064,0.105,7
3475,I,0.4,0.29,0.1,0.258,0.104,0.059,0.0815,7
1995,I,0.325,0.25,0.07,0.1745,0.0875,0.0355,0.04,7
2553,I,0.34,0.265,0.07,0.185,0.0625,0.0395,0.07,7
3449,F,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,7
2004,I,0.395,0.29,0.095,0.3,0.158,0.068,0.078,7
3607,M,0.545,0.43,0.155,0.8035,0.409,0.144,0.228,7
2286,F,0.385,0.305,0.105,0.3315,0.1365,0.0745,0.1,7
3526,I,0.35,0.26,0.09,0.1765,0.072,0.0355,0.0575,7
3530,I,0.365,0.275,0.09,0.2345,0.108,0.051,0.0625,7
2567,I,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,7
2717,I,0.355,0.255,0.08,0.187,0.078,0.0505,0.058,7
3717,I,0.36,0.25,0.115,0.465,0.21,0.1055,0.128,7
1119,M,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,7
2721,I,0.375,0.275,0.095,0.2295,0.095,0.0545,0.066,7
2569,I,0.465,0.355,0.11,0.474,0.23,0.1005,0.12,7
1569,M,0.475,0.36,0.1,0.4285,0.1965,0.099,0.112,7
2578,M,0.525,0.415,0.135,0.7945,0.394,0.189,0.202,7
2635,I,0.44,0.34,0.1,0.407,0.209,0.0735,0.103,7
1457,I,0.48,0.36,0.125,0.542,0.2795,0.1025,0.147,7
1456,F,0.475,0.365,0.115,0.566,0.281,0.117,0.1335,7
4069,I,0.48,0.335,0.125,0.524,0.246,0.1095,0.145,7
3979,F,0.525,0.41,0.115,0.7745,0.416,0.163,0.18,7
3802,I,0.32,0.23,0.06,0.129,0.0615,0.0275,0.0355,7
210,M,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,7
99,I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,7
120,I,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7
324,I,0.355,0.275,0.09,0.251,0.097,0.053,0.08,7
280,I,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,7
