,Sex,Length,Diameter,Height,Whole Weight,Shucked Weight,Viscera Weight,Shell Weight,Target Value
519,M,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,3
2114,I,0.18,0.13,0.045,0.0275,0.0125,0.01,0.009,3
3901,I,0.16,0.12,0.02,0.018,0.0075,0.0045,0.005,4
695,I,0.155,0.105,0.05,0.0175,0.005,0.0035,0.005,4
262,I,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,4
1429,I,0.23,0.165,0.06,0.0515,0.019,0.0145,0.036,4
3317,M,0.165,0.125,0.04,0.0245,0.0095,0.0045,0.008,4
717,I,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085,4
175,I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5
2379,M,0.175,0.135,0.04,0.0305,0.011,0.0075,0.01,5
2166,F,0.37,0.275,0.085,0.2405,0.104,0.0535,0.07,5
1434,I,0.385,0.3,0.09,0.247,0.1225,0.044,0.0675,5
1823,I,0.185,0.135,0.04,0.027,0.0105,0.0055,0.009,5
1987,I,0.21,0.15,0.055,0.0465,0.017,0.012,0.015,5
1530,I,0.21,0.17,0.045,0.0475,0.019,0.011,0.013,5
3104,I,0.29,0.215,0.06,0.1115,0.053,0.0185,0.032,5
690,I,0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025,5
1214,I,0.305,0.215,0.065,0.1075,0.044,0.0205,0.038,5
332,I,0.235,0.175,0.04,0.0705,0.0335,0.015,0.02,5
4023,I,0.33,0.245,0.065,0.1445,0.058,0.032,0.0505,6
1460,M,0.485,0.37,0.13,0.526,0.2485,0.105,0.1555,6
949,M,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,6
512,M,0.31,0.22,0.085,0.146,0.061,0.0365,0.045,6
1225,I,0.35,0.27,0.075,0.215,0.1,0.036,0.065,6
1223,I,0.345,0.255,0.095,0.1945,0.0925,0.037,0.055,6
3967,I,0.375,0.29,0.095,0.2875,0.123,0.0605,0.08,6
1063,I,0.3,0.22,0.08,0.1255,0.055,0.0265,0.039,6
2632,I,0.425,0.33,0.115,0.3265,0.1315,0.077,0.103,6
3996,I,0.36,0.27,0.09,0.2075,0.098,0.039,0.062,6
2715,I,0.34,0.245,0.085,0.2015,0.1005,0.038,0.053,6
2426,M,0.26,0.19,0.075,0.0945,0.0445,0.02,0.03,6
1993,I,0.29,0.21,0.065,0.097,0.0375,0.022,0.03,6
3429,I,0.325,0.24,0.075,0.152,0.065,0.0305,0.045,6
1880,I,0.55,0.45,0.13,0.804,0.3375,0.1405,0.23,6
2046,I,0.42,0.315,0.115,0.355,0.1895,0.065,0.087,6
3532,I,0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,6
123,I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6
3524,I,0.33,0.23,0.085,0.1695,0.079,0.026,0.0505,6
919,I,0.415,0.33,0.09,0.3595,0.17,0.081,0.09,6
2197,I,0.27,0.19,0.08,0.081,0.0265,0.0195,0.03,6
1559,I,0.435,0.325,0.11,0.367,0.1595,0.08,0.105,6
1583,F,0.515,0.375,0.11,0.6065,0.3005,0.131,0.15,6
2504,I,0.34,0.255,0.075,0.18,0.0745,0.04,0.0525,6
3473,I,0.355,0.265,0.085,0.2435,0.122,0.0525,0.06,6
2554,I,0.37,0.29,0.08,0.2545,0.108,0.0565,0.07,6
2870,I,0.375,0.28,0.085,0.2145,0.0855,0.0485,0.072,7
813,I,0.315,0.24,0.085,0.1715,0.071,0.0345,0.0535,7
955,M,0.495,0.4,0.135,0.61,0.272,0.1435,0.144,7
942,I,0.465,0.345,0.11,0.4415,0.1755,0.0905,0.12,7
966,I,0.51,0.405,0.135,0.769,0.3655,0.1585,0.18,7
1073,I,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7
2816,I,0.33,0.225,0.075,0.187,0.0945,0.0395,0.0425,7
1097,M,0.49,0.465,0.125,0.5225,0.235,0.13,0.141,7
1888,M,0.565,0.415,0.125,0.667,0.302,0.1545,0.185,7
1989,I,0.28,0.2,0.065,0.0895,0.036,0.0185,0.03,7
2556,I,0.39,0.295,0.1,0.279,0.1155,0.059,0.08,7
3448,M,0.52,0.395,0.125,0.8115,0.4035,0.166,0.2,7
2001,I,0.36,0.27,0.085,0.196,0.0905,0.034,0.053,7
2310,M,0.35,0.265,0.11,0.2965,0.1365,0.063,0.085,7
2241,F,0.475,0.38,0.135,0.486,0.1735,0.07,0.185,7
2011,I,0.46,0.35,0.11,0.4675,0.2125,0.099,0.1375,7
2072,F,0.58,0.435,0.15,0.839,0.3485,0.207,0.192,7
1095,I,0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,7
1289,I,0.515,0.38,0.12,0.625,0.3265,0.1295,0.16,7
2654,M,0.545,0.42,0.145,0.778,0.3745,0.1545,0.205,7
1111,F,0.52,0.46,0.15,1.019,0.523,0.1985,0.254,7
2722,I,0.385,0.3,0.125,0.343,0.1705,0.0735,0.081,7
2725,I,0.4,0.305,0.1,0.3415,0.176,0.0625,0.0865,7
1564,I,0.46,0.355,0.11,0.4255,0.2015,0.081,0.13,7
2585,F,0.555,0.425,0.14,0.963,0.44,0.224,0.24,7
2636,I,0.44,0.335,0.115,0.4215,0.173,0.0765,0.113,7
1455,I,0.475,0.365,0.115,0.459,0.2175,0.093,0.1165,7
1544,I,0.375,0.28,0.08,0.2165,0.0935,0.0925,0.07,7
616,M,0.32,0.24,0.085,0.17,0.0655,0.047,0.049,7
2943,M,0.63,0.51,0.17,1.1885,0.4915,0.3065,0.348,7
170,F,0.53,0.395,0.145,0.775,0.308,0.169,0.255,7
4162,I,0.39,0.31,0.085,0.344,0.181,0.0695,0.079,7
133,I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7
2979,I,0.5,0.37,0.115,0.5745,0.306,0.112,0.141,7
325,I,0.32,0.255,0.1,0.1755,0.073,0.0415,0.065,7
3408,I,0.395,0.31,0.095,0.313,0.131,0.072,0.093,7
618,M,0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,7
3257,M,0.455,0.375,0.125,0.484,0.2155,0.102,0.165,7
4029,I,0.435,0.325,0.1,0.366,0.174,0.0725,0.109,7
4017,M,0.66,0.485,0.155,1.2275,0.61,0.274,0.3,8
1539,I,0.36,0.27,0.095,0.2,0.073,0.056,0.061,8
1468,M,0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,8
1470,M,0.53,0.4,0.125,0.7575,0.398,0.151,0.175,8
1465,M,0.515,0.425,0.145,0.9365,0.497,0.181,0.2185,8
3665,I,0.575,0.44,0.15,0.983,0.486,0.215,0.239,8
3186,F,0.51,0.385,0.135,0.632,0.282,0.145,0.17,8
2010,M,0.45,0.33,0.105,0.4955,0.2575,0.082,0.129,8
1123,F,0.55,0.43,0.15,0.84,0.395,0.195,0.223,8
1554,I,0.41,0.3,0.09,0.28,0.141,0.0575,0.075,8
1171,M,0.63,0.47,0.155,1.1325,0.589,0.211,0.287,8
1160,M,0.61,0.485,0.16,1.0145,0.5315,0.212,0.2415,8
3088,M,0.455,0.35,0.11,0.458,0.2,0.111,0.1305,8
1881,M,0.555,0.435,0.14,0.7495,0.341,0.1645,0.214,8
1338,F,0.58,0.445,0.15,0.858,0.4,0.156,0.253,8
1325,M,0.565,0.445,0.15,0.796,0.3635,0.184,0.219,8
1780,M,0.515,0.395,0.135,1.007,0.472,0.2495,0.252,8
2667,F,0.585,0.435,0.14,0.6955,0.3085,0.129,0.2245,8
1869,I,0.53,0.43,0.14,0.677,0.298,0.0965,0.23,8
1860,M,0.515,0.385,0.11,0.5785,0.253,0.16,0.14,8
1266,F,0.46,0.365,0.125,0.4785,0.206,0.1045,0.141,8
1275,I,0.48,0.355,0.115,0.4725,0.2065,0.112,0.132,8
3032,M,0.535,0.41,0.12,0.6835,0.3125,0.1655,0.159,8
3403,M,0.37,0.28,0.105,0.224,0.0815,0.0575,0.075,8
1474,F,0.56,0.43,0.15,0.8745,0.453,0.161,0.22,8
2646,I,0.5,0.39,0.125,0.583,0.294,0.132,0.1605,8
1286,I,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,8
1110,I,0.52,0.38,0.125,0.5545,0.288,0.1295,0.167,8
2902,F,0.575,0.425,0.15,0.8765,0.455,0.18,0.228,8
3818,M,0.57,0.45,0.14,0.9275,0.477,0.1605,0.2515,8
843,M,0.525,0.395,0.13,0.7635,0.3375,0.1425,0.225,8
3635,I,0.39,0.29,0.09,0.2745,0.135,0.0455,0.078,8
3638,I,0.44,0.32,0.095,0.3275,0.1495,0.059,0.1,8
3444,I,0.495,0.4,0.145,0.578,0.2545,0.1305,0.1645,8
3837,I,0.335,0.25,0.095,0.185,0.0795,0.0495,0.055,8
266,M,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,8
2836,F,0.58,0.445,0.135,0.95,0.484,0.182,0.2325,8
3805,I,0.425,0.31,0.095,0.3505,0.1645,0.071,0.1,8
2564,I,0.45,0.35,0.12,0.468,0.2005,0.1065,0.1325,8
3808,F,0.52,0.375,0.135,0.5375,0.221,0.117,0.17,8
3814,I,0.46,0.34,0.1,0.386,0.1805,0.0875,0.0965,8
1650,F,0.595,0.435,0.15,0.9,0.4175,0.17,0.265,8
2298,I,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,8
3356,I,0.375,0.285,0.1,0.239,0.105,0.0555,0.07,8
1086,I,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8
4035,I,0.54,0.42,0.14,0.74,0.3595,0.159,0.1985,8
3333,I,0.39,0.3,0.105,0.259,0.0955,0.038,0.085,8
2041,I,0.385,0.28,0.1,0.2755,0.1305,0.061,0.0725,8
2514,F,0.47,0.375,0.12,0.6015,0.2765,0.1455,0.135,8
2057,M,0.485,0.39,0.135,0.617,0.25,0.1345,0.1635,8
2111,M,0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,8
969,F,0.515,0.43,0.14,0.834,0.367,0.2,0.23,8
944,M,0.47,0.365,0.12,0.612,0.327,0.15,0.14,8
64,M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8
3538,I,0.435,0.34,0.12,0.396,0.1775,0.081,0.125,8
3540,I,0.45,0.35,0.11,0.514,0.253,0.1045,0.14,8
2990,M,0.595,0.485,0.15,1.0835,0.5305,0.231,0.276,8
3459,M,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,9
2527,F,0.6,0.475,0.135,1.4405,0.5885,0.191,0.3175,9
