,Sex,Length,Diameter,Height,Whole Weight,Shucked Weight,Viscera Weight,Shell Weight,Target Value
3471,I,0.165,0.12,0.05,0.021,0.0075,0.0045,0.014,3
305,I,0.165,0.12,0.03,0.0215,0.007,0.005,0.005,3
3993,I,0.185,0.135,0.045,0.032,0.011,0.0065,0.01,4
177,I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,4
2544,I,0.205,0.15,0.065,0.04,0.02,0.011,0.013,4
1052,I,0.185,0.13,0.045,0.029,0.012,0.0075,0.0095,4
1210,I,0.245,0.205,0.06,0.0765,0.034,0.014,0.0215,4
2546,I,0.23,0.18,0.05,0.064,0.0215,0.0135,0.02,5
520,F,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,5
1445,I,0.44,0.34,0.105,0.369,0.164,0.08,0.1015,5
3083,I,0.23,0.17,0.05,0.057,0.026,0.013,0.016,5
3307,M,0.275,0.2,0.08,0.099,0.037,0.024,0.03,5
1441,I,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,5
2456,I,0.25,0.185,0.065,0.071,0.027,0.0185,0.0225,5
3106,I,0.37,0.275,0.1,0.2815,0.1505,0.0505,0.068,5
322,I,0.265,0.205,0.07,0.1055,0.039,0.041,0.035,5
783,I,0.215,0.155,0.06,0.0525,0.021,0.0165,0.015,5
812,I,0.255,0.185,0.06,0.088,0.0365,0.021,0.023,5
1249,I,0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765,5
302,M,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,6
1448,M,0.45,0.335,0.125,0.4475,0.2165,0.126,0.11,6
1532,I,0.295,0.215,0.07,0.121,0.047,0.0155,0.0405,6
1101,M,0.5,0.39,0.125,0.5215,0.2485,0.117,0.131,6
1074,I,0.41,0.325,0.1,0.3245,0.132,0.072,0.106,6
1213,I,0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355,6
461,I,0.24,0.185,0.07,0.0715,0.026,0.018,0.025,6
1087,I,0.45,0.34,0.12,0.4925,0.241,0.1075,0.12,6
1432,I,0.37,0.27,0.095,0.232,0.1325,0.041,0.0615,6
1068,I,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,6
3801,I,0.305,0.23,0.075,0.1455,0.0595,0.0305,0.05,6
2819,I,0.375,0.285,0.09,0.2545,0.119,0.0595,0.0675,6
3476,I,0.4,0.3,0.11,0.2985,0.1375,0.071,0.075,6
1996,I,0.335,0.25,0.08,0.1695,0.0695,0.044,0.0495,6
1998,I,0.35,0.25,0.07,0.1605,0.0715,0.0335,0.046,6
3355,I,0.39,0.3,0.1,0.3085,0.1385,0.0735,0.085,6
782,I,0.385,0.28,0.125,0.244,0.102,0.038,0.085,6
4154,I,0.44,0.35,0.11,0.3805,0.1575,0.0895,0.115,6
