,Sex,Length,Diameter,Height,Whole Weight,Shucked Weight,Viscera Weight,Shell Weight,Target Value
525,M,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,3
3800,I,0.205,0.155,0.045,0.0495,0.0235,0.011,0.014,3
2812,I,0.255,0.195,0.055,0.0725,0.0285,0.017,0.021,4
2457,I,0.2,0.145,0.05,0.036,0.0125,0.008,0.011,4
3142,I,0.2,0.15,0.04,0.046,0.021,0.007,0.0065,4
1054,I,0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095,4
57,I,0.245,0.19,0.06,0.086,0.042,0.014,0.025,4
241,I,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,5
42,I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5
2549,I,0.28,0.22,0.08,0.1315,0.066,0.024,0.03,5
522,M,0.2,0.14,0.055,0.035,0.0145,0.008,0.01,5
2865,I,0.32,0.205,0.08,0.181,0.088,0.034,0.0495,5
904,I,0.32,0.24,0.09,0.1575,0.07,0.0265,0.0425,5
909,I,0.34,0.25,0.075,0.1785,0.0665,0.0455,0.045,5
3357,M,0.285,0.215,0.075,0.106,0.0415,0.023,0.035,5
1224,I,0.345,0.255,0.085,0.2005,0.105,0.037,0.05,5
3189,I,0.2,0.145,0.025,0.0345,0.011,0.0075,0.01,5
2152,I,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035,5
1248,I,0.395,0.27,0.1,0.2985,0.1445,0.061,0.082,5
1436,I,0.4,0.29,0.11,0.329,0.188,0.0455,0.0825,6
3084,I,0.255,0.185,0.06,0.0925,0.039,0.021,0.025,6
1533,I,0.3,0.23,0.085,0.117,0.05,0.0175,0.0415,6
1228,I,0.365,0.27,0.085,0.1875,0.081,0.042,0.058,6
3981,I,0.58,0.435,0.15,0.8915,0.363,0.1925,0.2515,6
3964,I,0.295,0.22,0.07,0.1365,0.0575,0.0295,0.035,6
3969,I,0.385,0.285,0.09,0.248,0.0935,0.066,0.07,6
1089,I,0.45,0.33,0.1,0.411,0.1945,0.1,0.098,6
2638,I,0.46,0.37,0.12,0.5335,0.2645,0.108,0.1345,6
4000,I,0.48,0.35,0.105,0.635,0.352,0.127,0.135,6
1060,I,0.275,0.195,0.065,0.106,0.054,0.02,0.028,6
3636,I,0.435,0.325,0.1,0.342,0.1335,0.0835,0.105,6
2815,I,0.325,0.24,0.075,0.1525,0.072,0.0645,0.043,6
1836,I,0.415,0.31,0.1,0.2805,0.114,0.0565,0.0975,6
3185,F,0.47,0.36,0.11,0.4965,0.237,0.127,0.13,6
820,I,0.37,0.275,0.14,0.2215,0.097,0.0455,0.0615,6
3527,I,0.35,0.265,0.085,0.1735,0.0775,0.034,0.056,6
829,M,0.415,0.305,0.1,0.325,0.156,0.0505,0.091,6
1830,I,0.365,0.27,0.075,0.2215,0.095,0.0445,0.07,6
2866,I,0.325,0.25,0.075,0.1585,0.075,0.0305,0.0455,6
4066,I,0.4,0.3,0.115,0.318,0.1335,0.0725,0.0935,6
716,I,0.25,0.19,0.06,0.0765,0.036,0.0115,0.0245,6
2508,I,0.415,0.315,0.09,0.3625,0.175,0.0835,0.093,6
1764,I,0.375,0.245,0.1,0.394,0.166,0.091,0.1125,6
4150,I,0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041,6
2550,I,0.295,0.22,0.07,0.126,0.0515,0.0275,0.035,6
814,I,0.325,0.25,0.08,0.1735,0.0765,0.0345,0.049,7
935,I,0.45,0.335,0.105,0.447,0.2335,0.153,0.119,7
911,I,0.345,0.265,0.1,0.2455,0.111,0.0535,0.065,7
931,I,0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195,7
821,I,0.38,0.275,0.095,0.1375,0.086,0.0585,0.0605,7
1079,M,0.43,0.335,0.12,0.397,0.1985,0.0865,0.1035,7
2751,M,0.515,0.41,0.14,0.7355,0.3065,0.137,0.2,7
1843,I,0.435,0.345,0.12,0.3215,0.13,0.056,0.1185,7
3481,I,0.47,0.355,0.145,0.4485,0.156,0.102,0.123,7
1827,I,0.35,0.265,0.08,0.2,0.09,0.042,0.06,7
2518,I,0.505,0.39,0.185,0.6125,0.267,0.142,0.172,7
1768,M,0.445,0.32,0.12,0.414,0.199,0.09,0.117,7
2140,I,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,7
3602,I,0.42,0.325,0.11,0.325,0.1245,0.0755,0.1025,7
2119,M,0.425,0.325,0.1,0.3295,0.1365,0.0725,0.11,7
2045,I,0.415,0.305,0.12,0.336,0.165,0.076,0.0805,7
2093,I,0.405,0.305,0.09,0.2825,0.114,0.0575,0.095,7
1255,I,0.425,0.31,0.09,0.301,0.1385,0.065,0.08,7
2677,M,0.615,0.45,0.15,1.198,0.707,0.2095,0.2505,7
1253,I,0.425,0.325,0.11,0.3335,0.173,0.045,0.1,7
2738,I,0.45,0.335,0.095,0.3505,0.1615,0.0625,0.1185,7
1221,I,0.335,0.245,0.09,0.2015,0.096,0.0405,0.048,7
1552,I,0.39,0.29,0.1,0.2225,0.095,0.0465,0.073,7
1589,I,0.52,0.39,0.13,0.5545,0.2355,0.1095,0.1895,7
2574,M,0.5,0.375,0.145,0.6215,0.274,0.166,0.1485,7
1430,I,0.365,0.265,0.135,0.2215,0.105,0.047,0.0605,7
3439,I,0.465,0.37,0.1,0.5055,0.234,0.11,0.14,7
2875,I,0.445,0.31,0.09,0.336,0.1555,0.09,0.0855,7
59,M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7
642,M,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,7
3024,I,0.495,0.33,0.1,0.44,0.177,0.095,0.15,7
401,F,0.435,0.325,0.11,0.4335,0.178,0.0985,0.155,7
3413,F,0.49,0.37,0.105,0.5265,0.249,0.1005,0.148,7
3112,I,0.425,0.325,0.105,0.3975,0.1815,0.081,0.1175,7
323,M,0.335,0.265,0.105,0.222,0.0935,0.056,0.075,7
3108,I,0.38,0.29,0.085,0.2285,0.088,0.0465,0.075,7
3120,F,0.55,0.425,0.14,0.952,0.4895,0.1945,0.2185,7
711,I,0.28,0.205,0.055,0.1135,0.045,0.0275,0.0335,7
17,M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7
2467,F,0.37,0.275,0.08,0.227,0.093,0.0625,0.07,8
2733,I,0.42,0.325,0.115,0.314,0.1295,0.0635,0.1,8
2408,F,0.64,0.5,0.15,1.0705,0.371,0.2705,0.36,8
1242,I,0.385,0.28,0.085,0.2175,0.097,0.038,0.067,8
2631,I,0.415,0.315,0.1,0.3645,0.1765,0.0795,0.095,8
1226,I,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,8
1459,M,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,8
2014,I,0.475,0.365,0.12,0.5185,0.268,0.1095,0.1365,8
2509,I,0.42,0.32,0.1,0.34,0.1745,0.05,0.0945,8
3110,I,0.41,0.325,0.105,0.361,0.1605,0.0665,0.103,8
1167,M,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,8
134,F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8
4008,M,0.61,0.49,0.16,1.146,0.597,0.246,0.265,8
172,F,0.52,0.405,0.115,0.776,0.32,0.1845,0.22,8
1512,M,0.65,0.485,0.14,1.175,0.475,0.2435,0.215,8
2658,F,0.55,0.44,0.135,0.8435,0.434,0.1995,0.185,8
4112,I,0.56,0.42,0.14,0.837,0.414,0.214,0.2,8
2664,F,0.575,0.48,0.15,0.897,0.4235,0.1905,0.248,8
1784,F,0.535,0.425,0.135,0.771,0.3765,0.1815,0.1795,8
1785,I,0.535,0.385,0.18,1.0835,0.4955,0.2295,0.304,8
1263,I,0.455,0.33,0.1,0.372,0.358,0.0775,0.11,8
3378,I,0.295,0.21,0.08,0.1,0.038,0.026,0.031,8
2598,M,0.61,0.48,0.15,1.1495,0.564,0.274,0.264,8
4121,I,0.46,0.365,0.11,0.4495,0.1755,0.102,0.15,8
1831,I,0.39,0.31,0.105,0.2665,0.1185,0.0525,0.081,8
3451,F,0.555,0.44,0.145,0.8815,0.43,0.1975,0.2155,8
4002,I,0.51,0.39,0.125,0.597,0.293,0.1265,0.1555,8
1636,F,0.575,0.465,0.195,0.9965,0.417,0.247,0.47,8
3553,I,0.53,0.42,0.13,0.658,0.296,0.1245,0.198,8
4074,M,0.545,0.45,0.15,0.7805,0.3795,0.1625,0.216,8
847,F,0.55,0.43,0.125,0.923,0.4035,0.175,0.283,8
55,M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8
1614,I,0.55,0.425,0.15,0.7665,0.339,0.176,0.21,8
4161,M,0.385,0.255,0.1,0.3175,0.137,0.068,0.092,8
2151,F,0.4,0.3,0.115,0.3025,0.1335,0.0465,0.0935,8
2237,I,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,8
1664,F,0.605,0.48,0.14,0.991,0.4735,0.2345,0.24,8
740,F,0.36,0.265,0.09,0.2065,0.078,0.057,0.06,8
3574,M,0.6,0.47,0.15,0.928,0.4225,0.183,0.275,8
3604,I,0.495,0.375,0.115,0.5755,0.31,0.1145,0.1395,8
3600,I,0.37,0.285,0.095,0.226,0.1135,0.0515,0.0675,8
2877,F,0.465,0.35,0.11,0.4085,0.165,0.102,0.131,8
1613,I,0.55,0.415,0.145,0.7815,0.373,0.16,0.2215,8
2071,M,0.58,0.45,0.12,0.8685,0.418,0.1475,0.2605,8
2077,M,0.61,0.48,0.165,1.2435,0.5575,0.2675,0.372,8
2781,M,0.6,0.48,0.09,1.05,0.457,0.2685,0.28,8
2048,I,0.445,0.32,0.12,0.378,0.152,0.0825,0.12,8
3411,I,0.48,0.355,0.115,0.5785,0.25,0.106,0.184,8
3352,I,0.475,0.365,0.14,0.4545,0.171,0.118,0.158,8
3116,F,0.47,0.36,0.1,0.4705,0.1635,0.089,0.1385,8
1106,I,0.51,0.38,0.115,0.5155,0.215,0.1135,0.166,8
3222,M,0.52,0.415,0.175,0.753,0.258,0.171,0.255,8
63,M,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8
973,F,0.53,0.425,0.13,0.7585,0.325,0.197,0.205,8
1572,I,0.48,0.37,0.12,0.536,0.251,0.114,0.15,8
3641,I,0.465,0.355,0.12,0.4975,0.2375,0.099,0.14,8
3642,I,0.47,0.345,0.12,0.3685,0.1525,0.0615,0.125,8
4087,M,0.6,0.47,0.13,1.0105,0.423,0.219,0.298,9
1711,F,0.645,0.51,0.16,1.2415,0.5815,0.276,0.315,9
212,M,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,9
234,I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9
1701,F,0.635,0.49,0.17,1.2615,0.5385,0.2665,0.38,9
3644,I,0.475,0.335,0.1,0.4425,0.1895,0.086,0.135,9
2132,M,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13,9
2079,M,0.645,0.495,0.15,1.2095,0.603,0.2225,0.339,9
3198,F,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,9
3207,I,0.32,0.25,0.08,0.1565,0.057,0.034,0.06,9
7,M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9
1,F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9
3571,F,0.585,0.46,0.165,1.058,0.486,0.25,0.294,9
3550,I,0.515,0.4,0.135,0.636,0.3055,0.1215,0.1855,9
3314,M,0.35,0.26,0.09,0.195,0.0745,0.041,0.0655,9
3555,I,0.535,0.41,0.13,0.6075,0.268,0.1225,0.1975,9
1874,F,0.54,0.425,0.16,0.9455,0.3675,0.2005,0.295,9
1890,I,0.565,0.435,0.145,0.8445,0.3975,0.158,0.255,9
2451,M,0.395,0.305,0.105,0.282,0.0975,0.065,0.096,9
1816,F,0.685,0.535,0.175,1.5845,0.7175,0.3775,0.4215,9
4109,M,0.51,0.41,0.155,1.2825,0.569,0.291,0.3795,9
3509,M,0.65,0.505,0.18,1.469,0.7115,0.3335,0.38,9
130,F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9
2020,M,0.525,0.41,0.13,0.6875,0.3435,0.1495,0.1765,9
1908,F,0.58,0.45,0.195,0.8265,0.4035,0.173,0.225,9
2413,I,0.42,0.305,0.11,0.28,0.094,0.0785,0.0955,9
1930,M,0.62,0.49,0.15,1.195,0.4605,0.302,0.355,9
2999,M,0.64,0.485,0.16,1.006,0.456,0.2245,0.2835,9
1193,F,0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,9
1164,F,0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415,9
1144,M,0.58,0.455,0.195,1.859,0.945,0.426,0.441,9
1161,M,0.61,0.485,0.145,1.3305,0.783,0.2255,0.2865,9
1283,I,0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196,9
1299,I,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,9
1315,M,0.555,0.44,0.14,0.8705,0.407,0.156,0.255,9
3020,I,0.455,0.355,0.105,0.372,0.138,0.0765,0.135,9
2883,I,0.505,0.425,0.125,0.6115,0.245,0.1375,0.2,9
703,M,0.4,0.3,0.125,0.417,0.191,0.09,0.1175,9
1000,M,0.595,0.475,0.165,1.213,0.621,0.2435,0.274,9
2908,F,0.58,0.45,0.15,0.92,0.393,0.212,0.2895,9
605,M,0.345,0.27,0.09,0.195,0.078,0.0455,0.059,9
946,M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9
3839,F,0.53,0.41,0.145,0.8255,0.375,0.204,0.245,9
2981,F,0.51,0.37,0.21,1.183,0.508,0.292,0.343,9
1108,M,0.52,0.4,0.145,0.7765,0.3525,0.1845,0.185,9
553,I,0.485,0.39,0.125,0.591,0.287,0.141,0.12,9
886,F,0.675,0.525,0.155,1.4785,0.628,0.3405,0.42,9
3416,M,0.58,0.46,0.15,1.0165,0.491,0.221,0.265,9
3852,F,0.57,0.465,0.155,0.9685,0.446,0.261,0.255,9
2613,M,0.645,0.49,0.16,1.251,0.5355,0.3345,0.3165,9
2602,F,0.62,0.51,0.175,1.2705,0.5415,0.323,0.3225,9
1462,M,0.505,0.385,0.105,0.5525,0.239,0.1245,0.1555,9
1480,F,0.58,0.435,0.14,0.953,0.475,0.2165,0.2095,9
3773,I,0.58,0.42,0.14,0.701,0.3285,0.102,0.2255,9
3704,F,0.67,0.54,0.2,1.46,0.6435,0.328,0.4165,9
1629,I,0.57,0.445,0.155,0.867,0.3705,0.1705,0.28,9
299,F,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,9
2570,M,0.465,0.34,0.105,0.486,0.231,0.1035,0.1225,9
1447,I,0.44,0.365,0.11,0.4465,0.213,0.089,0.1135,9
2676,F,0.615,0.475,0.17,1.055,0.543,0.246,0.2345,9
2672,M,0.595,0.47,0.165,1.108,0.4915,0.2325,0.3345,9
1322,I,0.56,0.455,0.145,0.974,0.547,0.1615,0.235,9
2827,M,0.52,0.4,0.105,0.872,0.4515,0.1615,0.1985,9
3722,I,0.47,0.355,0.12,0.4915,0.1765,0.1125,0.1325,9
2835,M,0.58,0.445,0.16,0.984,0.49,0.201,0.27,9
2837,M,0.59,0.47,0.155,1.1735,0.6245,0.233,0.2595,9
1381,F,0.625,0.515,0.16,1.264,0.5715,0.326,0.321,9
388,I,0.465,0.375,0.12,0.471,0.222,0.119,0.14,9
2914,I,0.59,0.475,0.145,0.9745,0.4675,0.207,0.259,10
2299,F,0.48,0.405,0.13,0.6375,0.277,0.1445,0.21,10
2838,F,0.59,0.455,0.15,0.976,0.465,0.2055,0.2765,10
2800,M,0.64,0.515,0.08,1.042,0.515,0.1755,0.175,10
