,Sex,Length,Diameter,Height,Whole Weight,Shucked Weight,Viscera Weight,Shell Weight,Target Value
237,I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3
4118,I,0.3,0.215,0.05,0.1185,0.048,0.0225,0.042,4
3521,I,0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02,4
304,I,0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,4
3082,I,0.225,0.17,0.05,0.0515,0.019,0.012,0.017,4
3836,I,0.17,0.105,0.035,0.034,0.012,0.0085,0.005,4
523,M,0.235,0.16,0.06,0.0545,0.0265,0.0095,0.015,4
2163,M,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095,5
3365,M,0.28,0.21,0.065,0.0905,0.035,0.02,0.03,5
3376,I,0.255,0.19,0.07,0.0815,0.028,0.016,0.031,5
1435,I,0.395,0.295,0.09,0.3025,0.143,0.0665,0.0765,5
2194,I,0.26,0.215,0.08,0.099,0.037,0.0255,0.045,5
3715,I,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,5
2037,I,0.28,0.215,0.08,0.132,0.072,0.022,0.033,5
2036,I,0.27,0.195,0.065,0.1065,0.0475,0.0225,0.0285,5
464,I,0.175,0.125,0.05,0.0235,0.008,0.0035,0.008,5
3963,I,0.27,0.19,0.06,0.099,0.0445,0.017,0.03,5
2627,I,0.29,0.21,0.06,0.1045,0.0415,0.022,0.035,5
124,I,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5
1458,I,0.485,0.38,0.12,0.4725,0.2075,0.1075,0.147,6
1444,I,0.43,0.34,0.105,0.4405,0.2385,0.0745,0.1075,6
1093,I,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,6
2974,I,0.32,0.215,0.095,0.305,0.14,0.067,0.0885,6
1250,I,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,6
3009,I,0.375,0.26,0.08,0.2075,0.09,0.0415,0.07,6
3966,I,0.315,0.23,0.07,0.164,0.0625,0.04,0.045,6
1064,I,0.315,0.235,0.055,0.151,0.065,0.027,0.039,6
1065,I,0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,6
1067,I,0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635,6
