,Sex,Length,Diameter,Height,Whole Weight,Shucked Weight,Viscera Weight,Shell Weight,Target Value
235,I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,1
2370,M,0.18,0.125,0.05,0.023,0.0085,0.0055,0.01,3
2712,I,0.25,0.175,0.06,0.0635,0.0275,0.008,0.02,4
1227,I,0.36,0.27,0.085,0.196,0.0875,0.035,0.064,4
320,I,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,4
897,I,0.28,0.12,0.075,0.117,0.0455,0.029,0.0345,4
296,I,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,4
3427,I,0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215,4
238,I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5
3951,I,0.315,0.235,0.08,0.18,0.08,0.045,0.047,5
3744,I,0.285,0.205,0.07,0.106,0.039,0.0285,0.034,5
898,I,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385,5
3379,I,0.19,0.13,0.045,0.0265,0.009,0.005,0.009,5
2171,I,0.215,0.15,0.03,0.0385,0.0115,0.005,0.01,5
3863,I,0.32,0.235,0.065,0.1385,0.058,0.0225,0.05,5
462,I,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,5
516,M,0.28,0.2,0.08,0.0915,0.033,0.0215,0.03,5
3994,I,0.245,0.175,0.055,0.0785,0.04,0.018,0.02,5
513,F,0.275,0.195,0.07,0.08,0.031,0.0215,0.025,5
1543,I,0.37,0.27,0.095,0.2175,0.097,0.046,0.065,6
956,M,0.5,0.39,0.135,0.6595,0.3145,0.1535,0.1565,6
1537,I,0.355,0.27,0.075,0.1775,0.079,0.0315,0.054,6
1443,I,0.425,0.34,0.105,0.389,0.2015,0.0905,0.088,6
3978,M,0.495,0.375,0.115,0.6245,0.282,0.143,0.155,6
1236,I,0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775,6
3970,I,0.4,0.295,0.095,0.252,0.1105,0.0575,0.066,6
3904,M,0.38,0.27,0.095,0.219,0.0835,0.0515,0.07,6
3431,I,0.36,0.27,0.09,0.219,0.097,0.0405,0.065,6
1069,I,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,6
3944,I,0.235,0.175,0.065,0.0615,0.0205,0.02,0.019,6
859,F,0.595,0.475,0.16,1.1405,0.547,0.231,0.271,6
1990,I,0.285,0.215,0.06,0.0935,0.031,0.023,0.03,6
1832,I,0.405,0.3,0.09,0.269,0.103,0.067,0.11,6
3633,I,0.36,0.265,0.085,0.1895,0.0725,0.0515,0.055,6
822,I,0.385,0.29,0.095,0.312,0.143,0.0635,0.086,6
816,I,0.35,0.27,0.09,0.2055,0.075,0.0575,0.062,6
2122,F,0.29,0.21,0.075,0.275,0.113,0.0675,0.035,6
3523,I,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038,6
2581,M,0.53,0.41,0.14,0.681,0.3095,0.1415,0.1835,6
2566,F,0.46,0.35,0.115,0.46,0.2025,0.1115,0.1165,6
294,I,0.295,0.215,0.085,0.128,0.049,0.034,0.04,6
3252,I,0.43,0.35,0.105,0.366,0.1705,0.0855,0.11,6
2507,I,0.415,0.315,0.105,0.33,0.1405,0.0705,0.095,6
894,I,0.255,0.19,0.05,0.083,0.0295,0.0215,0.027,6
2557,I,0.405,0.31,0.065,0.3205,0.1575,0.066,0.088,6
1091,I,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7
2828,I,0.52,0.395,0.145,0.77,0.424,0.142,0.1895,7
958,M,0.5,0.385,0.135,0.6425,0.3195,0.129,0.1535,7
924,I,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,7
936,I,0.455,0.355,0.125,0.5325,0.225,0.126,0.1465,7
1076,I,0.42,0.32,0.11,0.3625,0.174,0.0635,0.105,7
2821,I,0.45,0.335,0.105,0.362,0.1575,0.0795,0.1095,7
2820,I,0.39,0.29,0.09,0.2625,0.117,0.054,0.077,7
2447,F,0.35,0.265,0.09,0.1855,0.0745,0.0415,0.06,7
2392,I,0.3,0.22,0.09,0.1425,0.057,0.0335,0.043,7
2559,I,0.44,0.335,0.11,0.3885,0.175,0.0835,0.111,7
3447,M,0.52,0.39,0.12,0.6435,0.2885,0.157,0.161,7
2505,I,0.375,0.3,0.075,0.144,0.059,0.03,0.044,7
3547,F,0.495,0.37,0.12,0.594,0.28,0.11,0.1375,7
2226,I,0.275,0.2,0.075,0.086,0.0305,0.019,0.03,7
2007,I,0.425,0.315,0.095,0.3675,0.1865,0.0675,0.0985,7
2055,F,0.475,0.38,0.14,0.689,0.3165,0.1315,0.1955,7
3643,I,0.475,0.365,0.105,0.4175,0.1645,0.099,0.127,7
1284,I,0.5,0.375,0.125,0.5695,0.259,0.124,0.157,7
3718,I,0.38,0.28,0.095,0.2885,0.165,0.0435,0.067,7
1098,I,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,7
3716,I,0.35,0.25,0.1,0.4015,0.1725,0.063,0.1255,7
1234,I,0.375,0.29,0.085,0.2385,0.118,0.045,0.0695,7
1561,I,0.45,0.335,0.11,0.4195,0.181,0.085,0.1345,7
2591,M,0.59,0.465,0.14,1.046,0.4695,0.263,0.263,7
1545,I,0.38,0.285,0.095,0.243,0.0895,0.0665,0.075,7
1449,I,0.455,0.335,0.135,0.501,0.274,0.0995,0.1065,7
1541,I,0.36,0.265,0.075,0.1845,0.083,0.0365,0.055,7
53,M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7
3879,I,0.38,0.3,0.1,0.286,0.1305,0.056,0.09,7
3823,M,0.62,0.46,0.17,1.127,0.535,0.2635,0.296,7
403,I,0.44,0.345,0.12,0.365,0.1655,0.083,0.11,7
3415,M,0.56,0.45,0.14,0.9,0.472,0.182,0.218,7
3410,I,0.43,0.32,0.1,0.3855,0.192,0.0745,0.1,7
