,Sex,Length,Diameter,Height,Whole Weight,Shucked Weight,Viscera Weight,Shell Weight,Target Value
236,I,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,3
2711,I,0.21,0.15,0.045,0.04,0.0135,0.008,0.0105,4
3905,M,0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02,4
1056,I,0.225,0.165,0.055,0.059,0.027,0.0125,0.015,4
1057,I,0.245,0.18,0.065,0.071,0.03,0.013,0.0215,4
1055,I,0.2,0.155,0.04,0.0435,0.0155,0.009,0.007,4
517,M,0.325,0.23,0.09,0.147,0.06,0.034,0.045,4
1061,I,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,5
2868,I,0.37,0.28,0.085,0.198,0.0805,0.0455,0.058,5
2818,I,0.375,0.265,0.095,0.196,0.085,0.042,0.0585,5
2501,I,0.285,0.21,0.07,0.109,0.044,0.0265,0.033,5
3140,I,0.18,0.135,0.08,0.033,0.0145,0.007,0.01,5
649,M,0.255,0.18,0.065,0.079,0.034,0.014,0.025,5
3141,I,0.215,0.165,0.055,0.059,0.0265,0.0125,0.0185,5
2035,I,0.255,0.19,0.06,0.086,0.04,0.0185,0.025,5
1536,I,0.35,0.26,0.075,0.18,0.09,0.0245,0.055,5
1211,I,0.25,0.185,0.065,0.0685,0.0295,0.014,0.0225,5
696,M,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,5
2626,I,0.275,0.205,0.07,0.1055,0.495,0.019,0.0315,5
4026,I,0.365,0.27,0.09,0.2155,0.1005,0.049,0.0655,6
2628,I,0.33,0.24,0.075,0.163,0.0745,0.033,0.048,6
1534,I,0.305,0.225,0.09,0.1465,0.063,0.034,0.0415,6
3974,I,0.44,0.33,0.135,0.4095,0.163,0.1005,0.119,6
3982,F,0.585,0.45,0.125,0.874,0.3545,0.2075,0.225,6
1209,I,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,6
2976,I,0.43,0.33,0.1,0.449,0.254,0.0825,0.097,6
1090,I,0.45,0.33,0.11,0.3685,0.16,0.0885,0.102,6
3435,I,0.38,0.275,0.095,0.2505,0.0945,0.0655,0.075,6
1080,I,0.435,0.33,0.11,0.413,0.2055,0.096,0.096,6
4022,I,0.275,0.2,0.07,0.096,0.037,0.0225,0.03,6
3172,M,0.35,0.265,0.09,0.2265,0.0995,0.0575,0.065,6
3634,I,0.37,0.275,0.095,0.257,0.1015,0.055,0.0825,6
